N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev
2mer-0+52,-0.02152001,4,-0.04304003,-60.39881094,0.0001163359,14.378,10.84,10.84,0.0,-0.04304002,-0.04304002,-0.06456002999999999,-48.94645554646562,-60.398810919999995
2mer-0+98,-0.03580878,2,-0.03580878,-60.43461972,0.0001145894,13.62,10.895,10.895,0.0,-0.03580878,-0.03580878,-0.10742634,-48.982264326465625,-60.4346197
2mer-0+77,-0.03069607,4,-0.06139214,-60.49601185,0.0001108473,13.836,11.016,11.016,0.0,-0.06139214,-0.06139214,-0.09208821,-49.04365646646563,-60.49601184
2mer-0+95,-0.01053821,4,-0.02107641,-60.51708827,0.0001069138,14.878,11.15,11.15,0.0,-0.02107642,-0.02107642,-0.03161463,-49.06473288646563,-60.51708826
2mer-0+132,-0.00690695,2,-0.00690695,-60.52399522,0.0001023768,15.496,11.312,11.312,0.0,-0.00690695,-0.00690695,-0.02072085,-49.07163983646563,-60.52399521
2mer-0+80,-0.00349147,4,-0.00698293,-60.53097815,9.688024e-05,14.94,11.522,11.522,0.0,-0.00698294,-0.00698294,-0.01047441,-49.07862277646563,-60.53097815
2mer-0+57,-0.00548111,4,-0.01096222,-60.54194037,9.587804e-05,16.115,11.562,11.562,0.0,-0.01096222,-0.01096222,-0.01644333,-49.08958499646563,-60.541940370000006
2mer-0+129,-0.02224493,2,-0.02224493,-60.5641853,9.370198e-05,14.78,11.651,11.651,0.0,-0.02224493,-0.02224493,-0.06673479,-49.11182992646563,-60.564185300000005
2mer-0+94,-0.00103416,4,-0.00206831,-60.56625361,9.361866e-05,14.878,11.654,11.654,0.0,-0.00206832,-0.00206832,-0.0031024799999999995,-49.11389824646563,-60.566253620000005
2mer-0+63,-0.00198395,4,-0.00396789,-60.5702215,9.064675e-05,16.305,11.78,11.78,0.0,-0.0039679,-0.0039679,-0.00595185,-49.11786614646563,-60.570221520000004
2mer-0+153,-0.0071199,2,-0.0071199,-60.5773414,8.893838e-05,16.273,11.855,11.855,0.0,-0.0071199,-0.0071199,-0.021359700000000002,-49.12498604646563,-60.57734142
2mer-0+88,-0.00176791,4,-0.00353582,-60.58087722,8.367519e-05,13.459,12.099,12.099,0.0,-0.00353582,-0.00353582,-0.0053037299999999996,-49.12852186646563,-60.58087724000001
2mer-0+104,-0.0138879,4,-0.02777581,-60.60865303,8.351303e-05,15.882,12.106,12.106,0.0,-0.0277758,-0.0277758,-0.0416637,-49.15629766646563,-60.60865304000001
2mer-0+82,-0.0089699,2,-0.0089699,-60.61762292,8.011105e-05,13.774,12.275,12.275,0.0,-0.0089699,-0.0089699,-0.026909699999999998,-49.16526756646563,-60.617622940000004
2mer-0+71,-0.00741275,4,-0.0148255,-60.63244843,7.985817e-05,16.115,12.288,12.288,0.0,-0.0148255,-0.0148255,-0.02223825,-49.18009306646563,-60.632448440000005
