N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2
2mer-0+137,-0.00438566,2,-0.00438566,-58.69249874,5.704305e-05,18.134,13.747,13.747,0.0
2mer-0+123,-0.0069734,2,-0.0069734,-58.69947214,5.625858e-05,17.527,13.81,13.81,0.0
2mer-0+106,-0.00394927,4,-0.00789854,-58.70737069,5.520033e-05,17.959,13.898,13.898,0.0
2mer-0+173,-0.00090186,4,-0.00180372,-58.70917441,5.328932e-05,18.574,14.062,14.062,0.0
2mer-0+145,-0.00057892,2,-0.00057892,-58.70975334,5.178484e-05,18.803,14.197,14.197,0.0
2mer-0+93,-0.00165571,2,-0.00165571,-58.71140905,5.16271e-05,18.84,14.212,14.212,0.0
2mer-0+195,0.00089044,4,0.00178087,-58.70962817,5.071315e-05,17.421,14.296,14.296,0.0
2mer-0+183,-0.00815502,4,-0.01631005,-58.72593822,4.986371e-05,17.665,14.377,14.377,0.0
2mer-0+170,0.00102602,2,0.00102602,-58.7249122,4.976511e-05,15.496,14.387,14.387,0.0
2mer-0+121,-0.00010008,4,-0.00020016,-58.72511235,4.854035e-05,18.937,14.507,14.507,0.0
2mer-0+155,-0.00905244,2,-0.00905244,-58.7341648,4.797668e-05,17.527,14.563,14.563,0.0
2mer-0+185,-0.00441082,2,-0.00441082,-58.73857561,4.710875e-05,18.803,14.652,14.652,0.0
2mer-0+109,-0.0018595,4,-0.00371899,-58.7422946,4.675616e-05,19.499,14.689,14.689,0.0
2mer-0+136,-0.00210689,4,-0.00421379,-58.74650839,4.651702e-05,19.207,14.714,14.714,0.0
2mer-0+215,-0.0028814,4,-0.0057628,-58.75227119,4.556939e-05,19.148,14.815,14.815,0.0
2mer-0+143,-0.00827809,4,-0.01655617,-58.76882736,4.444464e-05,17.775,14.939,14.939,0.0
2mer-0+196,-0.00045597,2,-0.00045597,-58.76928334,4.429399e-05,16.273,14.956,14.956,0.0
2mer-0+166,-0.00721732,4,-0.01443464,-58.78371797,4.362766e-05,18.181,15.032,15.032,0.0
2mer-0+161,-0.00759511,2,-0.00759511,-58.79131308,4.233111e-05,18.134,15.184,15.184,0.0
2mer-0+135,0.00025802,2,0.00025802,-58.79105507,4.146952e-05,20.238,15.288,15.288,0.0
2mer-0+233,0.00015181,4,0.00030363,-58.79075144,4.138575e-05,18.786,15.299,15.299,0.0
2mer-0+125,-0.00229159,4,-0.00458317,-58.79533461,4.049275e-05,19.499,15.41,15.41,0.0
2mer-0+273,0.00058925,2,0.00058925,-58.79474536,4.033339e-05,20.099,15.43,15.43,0.0
2mer-0+180,-0.00592342,2,-0.00592342,-58.80066878,3.950664e-05,18.803,15.537,15.537,0.0
2mer-0+159,-0.00175753,4,-0.00351505,-58.80418383,3.93334e-05,19.97,15.56,15.56,0.0
2mer-0+214,0.00137127,4,0.00274254,-58.80144129,3.924758e-05,19.066,15.571,15.571,0.0
2mer-0+182,-0.00750492,4,-0.01500984,-58.81645113,3.871885e-05,18.181,15.642,15.642,0.0
2mer-0+141,0.00041277,2,0.00041277,-58.81603836,3.83914e-05,20.033,15.686,15.686,0.0
2mer-0+150,-0.00604305,4,-0.01208611,-58.82812447,3.8029e-05,18.937,15.736,15.736,0.0
2mer-0+144,-0.00351614,2,-0.00351614,-58.83164061,3.734765e-05,20.033,15.831,15.831,0.0
2mer-0+148,-0.00451554,4,-0.00903109,-58.8406717,3.716021e-05,19.207,15.858,15.858,0.0
2mer-0+211,-4.68e-06,4,-9.36e-06,-58.84068105,3.709499e-05,19.805,15.867,15.867,0.0
2mer-0+207,-0.00198027,4,-0.00396055,-58.8446416,3.461759e-05,19.805,16.237,16.237,0.0
2mer-0+156,-0.00358453,2,-0.00358453,-58.84822613,3.232156e-05,20.238,16.613,16.613,0.0
2mer-0+191,-0.00219446,4,-0.00438892,-58.85261506,3.228107e-05,20.729,16.62,16.62,0.0
2mer-0+174,-0.00047636,4,-0.00095272,-58.85356777,3.21167e-05,19.97,16.648,16.648,0.0
2mer-0+172,-0.00072745,2,-0.00072745,-58.85429523,3.199967e-05,21.353,16.668,16.668,0.0
2mer-0+175,-0.0004971,2,-0.0004971,-58.85479232,3.122714e-05,21.353,16.804,16.804,0.0
2mer-0+186,-0.00061291,2,-0.00061291,-58.85540523,3.042341e-05,21.353,16.951,16.951,0.0
2mer-0+205,0.00086571,2,0.00086571,-58.85453953,3.033152e-05,18.134,16.968,16.968,0.0
2mer-0+235,-0.00057829,4,-0.00115659,-58.85569611,3.018566e-05,20.246,16.996,16.996,0.0
2mer-0+267,-0.00179256,4,-0.00358511,-58.85928122,3.018566e-05,20.246,16.996,16.996,0.0
2mer-0+238,0.00196541,4,0.00393081,-58.85535041,2.938898e-05,18.574,17.148,17.148,0.0
2mer-0+232,-0.00141355,4,-0.0028271,-58.85817751,2.923713e-05,21.016,17.177,17.177,0.0
2mer-0+220,-0.00366916,4,-0.00733833,-58.86551584,2.895761e-05,20.729,17.232,17.232,0.0
2mer-0+268,0.00017042,2,0.00017042,-58.86534541,2.864482e-05,22.197,17.295,17.295,0.0
2mer-0+250,-0.00055322,4,-0.00110643,-58.86645184,2.829344e-05,19.148,17.366,17.366,0.0
2mer-0+202,-0.0010367,4,-0.0020734,-58.86852525,2.821611e-05,22.123,17.382,17.382,0.0
2mer-0+231,-0.00019544,2,-0.00019544,-58.86872069,2.820131e-05,18.803,17.385,17.385,0.0
2mer-0+289,-0.00345555,4,-0.0069111,-58.87563178,2.794722e-05,20.316,17.438,17.438,0.0
2mer-0+324,-0.00425341,2,-0.00425341,-58.87988519,2.742739e-05,20.43,17.547,17.547,0.0
2mer-0+201,-0.00118045,4,-0.0023609,-58.88224609,2.734571e-05,21.747,17.565,17.565,0.0
2mer-0+194,-0.00187009,4,-0.00374018,-58.88598627,2.721812e-05,21.747,17.592,17.592,0.0
2mer-0+319,9.862e-05,2,9.862e-05,-58.88588765,2.714497e-05,22.197,17.608,17.608,0.0
2mer-0+326,-0.0007109,4,-0.0014218,-58.88730944,2.683544e-05,21.289,17.675,17.675,0.0
2mer-0+359,-0.00199881,2,-0.00199881,-58.88930825,2.609851e-05,21.725,17.84,17.84,0.0
2mer-0+277,0.00086104,4,0.00172207,-58.88758618,2.573556e-05,21.016,17.924,17.924,0.0
2mer-0+323,0.00068986,4,0.00137972,-58.88620646,2.516062e-05,21.289,18.059,18.059,0.0
2mer-0+329,-0.00255755,4,-0.00511509,-58.89132155,2.508322e-05,21.111,18.078,18.078,0.0
2mer-0+218,-0.00315844,2,-0.00315844,-58.89447999,2.493547e-05,21.353,18.113,18.113,0.0
2mer-0+265,-0.00011624,4,-0.00023248,-58.89471247,2.444557e-05,22.857,18.233,18.233,0.0
2mer-0+249,-0.00140268,4,-0.00280536,-58.89751783,2.442986e-05,22.54,18.237,18.237,0.0
2mer-0+228,-0.00077182,4,-0.00154364,-58.89906147,2.371018e-05,22.123,18.42,18.42,0.0
2mer-0+332,-0.00236446,2,-0.00236446,-58.90142593,2.367988e-05,22.497,18.428,18.428,0.0
2mer-0+251,-0.00256568,4,-0.00513135,-58.90655728,2.358647e-05,22.125,18.452,18.452,0.0
2mer-0+362,6.736e-05,4,0.00013471,-58.90642257,2.348031e-05,23.032,18.48,18.48,0.0
2mer-0+288,-0.00115243,4,-0.00230487,-58.90872744,2.271702e-05,22.393,18.685,18.685,0.0
2mer-0+291,-0.00074346,4,-0.00148692,-58.91021436,2.231722e-05,23.326,18.796,18.796,0.0
2mer-0+398,-0.00273724,2,-0.00273724,-58.9129516,2.214468e-05,22.17,18.844,18.844,0.0
2mer-0+260,-0.00025191,2,-0.00025191,-58.91320351,2.187407e-05,23.248,18.922,18.922,0.0
2mer-0+431,-0.00168264,2,-0.00168264,-58.91488615,2.170273e-05,23.192,18.971,18.971,0.0
2mer-0+390,-0.00055248,2,-0.00055248,-58.91543863,2.131605e-05,23.68,19.085,19.085,0.0
2mer-0+368,-0.00219341,4,-0.00438682,-58.91982545,2.116914e-05,22.919,19.129,19.129,0.0
2mer-0+241,4.482e-05,4,8.964e-05,-58.9197358,2.112878e-05,23.795,19.142,19.142,0.0
2mer-0+314,-0.00154301,4,-0.00308603,-58.92282183,2.112557e-05,23.117,19.142,19.142,0.0
2mer-0+242,-0.00084854,4,-0.00169709,-58.92451892,2.094952e-05,23.838,19.196,19.196,0.0
2mer-0+269,-0.00186998,4,-0.00373997,-58.92825889,2.074088e-05,22.54,19.26,19.26,0.0
2mer-0+280,-0.00040282,2,-0.00040282,-58.9286617,2.042901e-05,23.946,19.358,19.358,0.0
2mer-0+339,-0.00203843,2,-0.00203843,-58.93070014,2.014296e-05,22.197,19.449,19.449,0.0
2mer-0+358,0.00237647,2,0.00237647,-58.92832367,2.013729e-05,20.099,19.451,19.451,0.0
2mer-0+346,-0.00233238,2,-0.00233238,-58.93065605,2.013434e-05,22.497,19.452,19.452,0.0
2mer-0+370,-0.00161682,2,-0.00161682,-58.93227287,2.006132e-05,23.68,19.475,19.475,0.0
2mer-0+320,0.00018432,2,0.00018432,-58.93208855,1.979397e-05,24.394,19.562,19.562,0.0
2mer-0+318,-0.00055112,4,-0.00110224,-58.93319079,1.967131e-05,23.259,19.603,19.603,0.0
2mer-0+317,-0.00275749,4,-0.00551499,-58.93870577,1.963653e-05,22.393,19.615,19.615,0.0
2mer-0+285,-0.00205561,2,-0.00205561,-58.94076138,1.909035e-05,23.248,19.8,19.8,0.0
2mer-0+297,-0.00075929,4,-0.00151857,-58.94227995,1.893315e-05,24.128,19.855,19.855,0.0
2mer-0+416,-0.000902,2,-0.000902,-58.94318195,1.887039e-05,21.725,19.877,19.877,0.0
