N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+54,-0.36435098,2,-0.36435098,-38.76668042,0.0003589442,7.82,7.446,7.446,-0.0058021135628223,-0.36435098,-0.3701530935628223,-1.09305294,-39.428755682778856,-38.766680394999995,0.0
2mer-0+57,0.12411963,4,0.24823926,-38.51844116,0.0003368618,8.99,7.605,7.605,-0.0006087775109335,0.24823926,0.247021704978133,0.37235889,-39.181733977800725,-38.518441134999996,0.0
2mer-0+77,0.28193998,1,0.14096999,-38.37747117,0.0003328696,8.285,7.636,7.636,-0.0027077649720013,0.14096999,0.13961610751399933,0.8458199399999999,-39.042117870286724,-38.377471144999994,0.0
2mer-0+56,-0.42050459,2,-0.42050459,-38.79797576,0.0003325178,8.286,7.638,7.638,-0.0018055709078907,-0.42050459,-0.4223101609078907,-1.26151377,-39.464428031194615,-38.797975734999994,0.0
2mer-0+52,0.05643233,2,0.05643233,-38.74154343,0.0003161852,8.337,7.768,7.768,-0.000845416681841,0.05643233,0.055586913318159,0.16929699,-39.408841117876456,-38.741543404999994,0.0
2mer-0+89,0.28132184,1,0.14066092,-38.60088251,0.0003160106,8.993,7.769,7.769,-0.0008148510241881,0.14066092,0.14025349448790594,0.84396552,-39.26858762338855,-38.60088248499999,0.0
2mer-0+64,-0.10580829,2,-0.10580829,-38.7066908,0.0003160106,9.033,7.769,7.769,-0.0004981844685971,-0.10580829,-0.1063064744685971,-0.31742486999999997,-39.374894097857144,-38.70669077499999,0.0
2mer-0+82,-0.2251831,4,-0.45036621,-39.15705701,0.0002914261,8.593,7.982,7.982,-0.0007444077054969,-0.4503662,-0.4518550154109938,-0.6755493,-39.826749113268136,-39.15705697499999,0.0
2mer-0+67,-0.3244181,4,-0.64883619,-39.8058932,0.0002839308,8.656,8.051,8.051,0.0,-0.6488362,-0.6488362,-0.9732543,-40.475585313268134,-39.80589317499999,0.0
2mer-0+68,0.3064366,1,0.1532183,-39.6526749,0.0002833353,8.38,8.057,8.057,0.0,0.1532183,0.1532183,0.9193098,-40.322367013268135,-39.65267487499999,0.0
2mer-0+72,-0.28898316,2,-0.28898316,-39.94165806,0.000281775,8.681,8.072,8.072,0.0,-0.28898316,-0.28898316,-0.86694948,-40.611350173268136,-39.94165803499999,0.0
2mer-0+69,0.27072725,1,0.13536363,-39.80629443,0.0002815522,8.681,8.074,8.074,0.0,0.135363625,0.135363625,0.8121817499999999,-40.47598654826814,-39.80629440999999,0.0
2mer-0+76,0.02735045,4,0.0547009,-39.75159353,0.0002520364,8.656,8.377,8.377,0.0,0.0547009,0.0547009,0.08205135,-40.42128564826814,-39.75159350999999,0.0
2mer-0+100,-0.00392404,2,-0.00392404,-39.75551758,0.0002412137,9.379,8.501,8.501,0.0,-0.00392404,-0.00392404,-0.01177212,-40.42520968826814,-39.75551754999999,0.0
2mer-0+87,0.18442205,2,0.18442205,-39.57109552,0.0002411134,9.436,8.502,8.502,0.0,0.18442205,0.18442205,0.55326615,-40.24078763826814,-39.57109549999999,0.0
2mer-0+70,-0.10376841,2,-0.10376841,-39.67486393,0.0002321974,9.113,8.61,8.61,0.0,-0.10376841,-0.10376841,-0.31130523,-40.34455604826814,-39.67486390999999,0.0
2mer-0+113,0.03993518,2,0.03993518,-39.63492875,0.0002321631,9.386,8.61,8.61,0.0,0.03993518,0.03993518,0.11980554,-40.30462086826814,-39.63492872999999,0.0
2mer-0+66,0.08989461,2,0.08989461,-39.54503414,0.0002317151,9.444,8.616,8.616,0.0,0.08989461,0.08989461,0.26968383,-40.214726258268136,-39.54503411999999,0.0
2mer-0+109,0.15218825,2,0.15218825,-39.39284589,0.0002316673,9.404,8.616,8.616,0.0,0.15218825,0.15218825,0.45656474999999996,-40.062538008268135,-39.39284586999999,0.0
2mer-0+84,0.16262505,2,0.16262505,-39.23022085,0.0002314782,9.48,8.618,8.618,0.0,0.16262505,0.16262505,0.48787515,-39.89991295826813,-39.230220819999985,0.0
2mer-0+88,-0.32560937,2,-0.32560937,-39.55583021,0.0002127402,9.443,8.864,8.864,0.0,-0.32560937,-0.32560937,-0.97682811,-40.225522328268134,-39.55583018999999,0.0
2mer-0+86,0.0325075,2,0.0325075,-39.52332272,0.0002121102,9.501,8.873,8.873,0.0,0.0325075,0.0325075,0.09752250000000001,-40.19301482826813,-39.523322689999986,0.0
2mer-0+99,-0.01338325,2,-0.01338325,-39.53670596,0.0002104783,9.493,8.896,8.896,0.0,-0.01338325,-0.01338325,-0.04014975,-40.20639807826813,-39.53670593999998,0.0
2mer-0+97,-0.11301604,2,-0.11301604,-39.649722,0.0002026216,9.785,9.01,9.01,0.0,-0.11301604,-0.11301604,-0.33904812,-40.31941411826813,-39.64972197999998,0.0
2mer-0+85,0.3677685,2,0.3677685,-39.2819535,0.0002012651,9.11,9.03,9.03,0.0,0.3677685,0.3677685,1.1033055,-39.95164561826813,-39.281953479999984,0.0
2mer-0+104,0.28640509,1,0.14320254,-39.13875096,0.0001984292,9.152,9.073,9.073,0.0,0.143202545,0.143202545,0.85921527,-39.80844307326813,-39.13875093499998,0.0
2mer-0+95,-0.04848657,4,-0.09697314,-39.2357241,0.0001954677,10.063,9.118,9.118,0.0,-0.09697314,-0.09697314,-0.14545971,-39.90541621326813,-39.235724074999986,0.0
2mer-0+96,0.0935141,4,0.1870282,-39.0486959,0.0001954677,10.063,9.118,9.118,0.0,0.1870282,0.1870282,0.2805423,-39.71838801326813,-39.048695874999986,0.0
2mer-0+131,-0.25142327,1,-0.12571163,-39.17440753,0.0001842656,10.12,9.299,9.299,0.0,-0.125711635,-0.125711635,-0.7542698099999999,-39.844099648268134,-39.17440750999999,0.0
2mer-0+137,-0.0737418,2,-0.0737418,-39.24814933,0.0001822456,10.098,9.334,9.334,0.0,-0.0737418,-0.0737418,-0.2212254,-39.917841448268135,-39.24814930999999,0.0
2mer-0+98,-0.05491892,2,-0.05491892,-39.30306825,0.0001818625,10.134,9.34,9.34,0.0,-0.05491892,-0.05491892,-0.16475676,-39.97276036826813,-39.30306822999999,0.0
2mer-0+136,-0.24962178,1,-0.12481089,-39.42787914,0.0001807027,9.784,9.36,9.36,0.0,-0.12481089,-0.12481089,-0.7488653399999999,-40.09757125826813,-39.427879119999986,0.0
2mer-0+107,-0.07051627,2,-0.07051627,-39.49839541,0.0001792999,10.169,9.384,9.384,0.0,-0.07051627,-0.07051627,-0.21154881000000003,-40.16808752826813,-39.498395389999985,0.0
2mer-0+130,0.03636779,2,0.03636779,-39.46202762,0.0001774011,10.726,9.418,9.418,0.0,0.03636779,0.03636779,0.10910336999999999,-40.13171973826813,-39.462027599999985,0.0
2mer-0+124,0.12804173,4,0.25608346,-39.20594416,0.0001716544,11.013,9.522,9.522,0.0,0.25608346,0.25608346,0.38412519,-39.87563627826813,-39.205944139999986,0.0
2mer-0+132,-0.11755066,2,-0.11755066,-39.32349482,0.0001661462,10.467,9.626,9.626,0.0,-0.11755066,-0.11755066,-0.35265198,-39.99318693826813,-39.323494799999985,0.0
2mer-0+119,-0.18840125,1,-0.09420062,-39.41769544,0.0001659168,10.468,9.63,9.63,0.0,-0.094200625,-0.094200625,-0.56520375,-40.08738756326813,-39.417695424999984,0.0
2mer-0+110,0.00848008,4,0.01696016,-39.40073528,0.0001573314,10.153,9.802,9.802,0.0,0.01696016,0.01696016,0.025440239999999996,-40.070427403268134,-39.40073526499999,0.0
2mer-0+126,0.04546341,2,0.04546341,-39.35527187,0.0001533653,11.352,9.886,9.886,0.0,0.04546341,0.04546341,0.13639023,-40.02496399326813,-39.355271854999984,0.0
2mer-0+122,0.12437829,4,0.24875658,-39.10651529,0.0001525534,10.739,9.904,9.904,0.0,0.24875658,0.24875658,0.37313487,-39.77620741326813,-39.106515274999985,0.0
2mer-0+121,-0.06741808,4,-0.13483617,-39.24135146,0.0001525534,10.739,9.904,9.904,0.0,-0.13483616,-0.13483616,-0.20225424000000003,-39.91104357326813,-39.241351434999984,0.0
2mer-0+140,0.01521894,2,0.01521894,-39.22613253,0.000149317,10.776,9.975,9.975,0.0,0.01521894,0.01521894,0.04565682,-39.895824633268134,-39.22613249499999,0.0
2mer-0+151,-0.2593559,2,-0.2593559,-39.48548843,0.0001366512,10.739,10.274,10.274,0.0,-0.2593559,-0.2593559,-0.7780676999999999,-40.15518053326814,-39.48548839499999,0.0
2mer-0+164,0.04703486,2,0.04703486,-39.43845357,0.000135196,11.081,10.311,10.311,0.0,0.04703486,0.04703486,0.14110457999999998,-40.10814567326814,-39.438453534999994,0.0
2mer-0+149,-0.10069152,2,-0.10069152,-39.53914509,0.0001351565,11.065,10.312,10.312,0.0,-0.10069152,-0.10069152,-0.30207456,-40.20883719326814,-39.53914505499999,0.0
2mer-0+154,-0.10637215,2,-0.10637215,-39.64551724,0.0001341423,11.098,10.337,10.337,0.0,-0.10637215,-0.10637215,-0.31911645,-40.31520934326814,-39.64551720499999,0.0
2mer-0+183,0.09158833,4,0.18317667,-39.46234057,0.0001267006,11.873,10.536,10.536,0.0,0.18317666,0.18317666,0.27476499,-40.132032683268136,-39.46234054499999,0.0
2mer-0+155,-0.09589344,4,-0.19178688,-39.65412745,0.0001250017,11.618,10.583,10.583,0.0,-0.19178688,-0.19178688,-0.28768032,-40.32381956326814,-39.65412742499999,0.0
2mer-0+156,0.00402483,4,0.00804966,-39.64607779,0.0001250017,11.618,10.583,10.583,0.0,0.00804966,0.00804966,0.01207449,-40.31576990326814,-39.646077764999994,0.0
2mer-0+172,0.1408739,4,0.28174779,-39.36433,0.0001241576,11.87,10.607,10.607,0.0,0.2817478,0.2817478,0.4226217,-40.03402210326814,-39.364329964999996,0.0
2mer-0+199,0.06626032,2,0.06626032,-39.29806968,0.0001233407,11.346,10.631,10.631,0.0,0.06626032,0.06626032,0.19878096,-39.967761783268145,-39.298069645,0.0
2mer-0+189,-0.07812599,2,-0.07812599,-39.37619568,0.0001233306,11.399,10.631,10.631,0.0,-0.07812599,-0.07812599,-0.23437797000000002,-40.04588777326814,-39.376195634999995,0.0
