N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A),dAPNet2
2mer-0+25,0.8152795,2,0.8152795,-36.21569682,0.0006624279,6.474,6.07,6.07,0.0712311863899231
2mer-0+35,-0.29436393,2,-0.29436393,-36.51006075,0.000634129,6.948,6.159,6.159,0.1869174689054489
2mer-0+31,0.24676079,2,0.24676079,-36.26329996,0.0006339603,6.958,6.16,6.16,0.15033100545406342
2mer-0+42,-1.06075133,1,-0.53037566,-36.79367562,0.0006234168,6.948,6.195,6.195,0.16287612915039062
2mer-0+38,-0.23711927,4,-0.47423854,-37.26791416,0.0005368451,7.802,6.511,6.511,0.14103426039218903
2mer-0+32,0.22582673,4,0.45165346,-36.8162607,0.0005092469,7.82,6.627,6.627,0.1252284198999405
2mer-0+40,1.06301292,2,1.06301292,-35.75324779,0.000439955,7.035,6.958,6.958,0.059881504625082016
2mer-0+44,-0.9001926,4,-1.80038519,-37.55363298,0.0004307326,7.825,7.007,7.007,0.09485308825969696
2mer-0+55,0.07641047,2,0.07641047,-37.47722251,0.0004085514,7.36,7.132,7.132,0.047265760600566864
2mer-0+45,0.1423927,4,0.2847854,-37.19243711,0.0003823113,7.825,7.291,7.291,0.052851270884275436
2mer-0+59,0.06963012,2,0.06963012,-37.12280698,0.0003747401,8.25,7.34,7.34,0.058827634900808334
2mer-0+73,0.41066514,1,0.20533257,-36.91747441,0.0003649593,8.206,7.405,7.405,0.056207384914159775
2mer-0+54,-0.50536081,2,-0.50536081,-37.42283522,0.0003589442,7.82,7.446,7.446,0.0483500137925148
2mer-0+57,0.13462665,4,0.2692533,-37.15358192,0.0003368618,8.99,7.605,7.605,0.03769047558307648
2mer-0+77,0.40195255,1,0.20097628,-36.95260564,0.0003328696,8.285,7.636,7.636,0.06354725360870361
2mer-0+56,-0.5861228,2,-0.5861228,-37.53872845,0.0003325178,8.286,7.638,7.638,0.04933878034353256
2mer-0+52,0.06408452,2,0.06408452,-37.47464392,0.0003161852,8.337,7.768,7.768,0.002474376233294606
2mer-0+89,0.37173294,1,0.18586647,-37.28877746,0.0003160106,8.993,7.769,7.769,0.0735192596912384
2mer-0+64,-0.13598014,2,-0.13598014,-37.4247576,0.0003160106,9.033,7.769,7.769,0.03357572481036186
2mer-0+82,-0.27452543,4,-0.54905085,-37.97380845,0.0002914261,8.593,7.982,7.982,0.00392625667154789
2mer-0+67,-0.44095871,4,-0.88191743,-38.85572588,0.0002839308,8.656,8.051,8.051,0
2mer-0+68,0.44348243,1,0.22174121,-38.63398467,0.0002833353,8.38,8.057,8.057,0
2mer-0+72,-0.41310328,2,-0.41310328,-39.04708795,0.000281775,8.681,8.072,8.072,0
2mer-0+69,0.35951932,1,0.17975966,-38.86732829,0.0002815522,8.681,8.074,8.074,0
2mer-0+76,0.02008067,4,0.04016135,-38.82716694,0.0002520364,8.656,8.377,8.377,0
2mer-0+100,0.00555016,2,0.00555016,-38.82161678,0.0002412137,9.379,8.501,8.501,0
2mer-0+87,0.24533428,2,0.24533428,-38.5762825,0.0002411134,9.436,8.502,8.502,0
2mer-0+70,-0.12668653,2,-0.12668653,-38.70296903,0.0002321974,9.113,8.61,8.61,0
2mer-0+113,0.06547246,2,0.06547246,-38.63749658,0.0002321631,9.386,8.61,8.61,0
2mer-0+66,0.10910428,2,0.10910428,-38.52839229,0.0002317151,9.444,8.616,8.616,0
2mer-0+109,0.21928319,2,0.21928319,-38.30910911,0.0002316673,9.404,8.616,8.616,0
2mer-0+84,0.22596042,2,0.22596042,-38.08314868,0.0002314782,9.48,8.618,8.618,0
2mer-0+88,-0.43654659,2,-0.43654659,-38.51969528,0.0002127402,9.443,8.864,8.864,0
2mer-0+86,0.06161634,2,0.06161634,-38.45807894,0.0002121102,9.501,8.873,8.873,0
2mer-0+99,-0.00632321,2,-0.00632321,-38.46440215,0.0002104783,9.493,8.896,8.896,0
2mer-0+97,-0.13188735,2,-0.13188735,-38.5962895,0.0002026216,9.785,9.01,9.01,0
2mer-0+85,0.49626365,2,0.49626365,-38.10002585,0.0002012651,9.11,9.03,9.03,0
2mer-0+104,0.37457083,1,0.18728542,-37.91274043,0.0001984292,9.152,9.073,9.073,0
2mer-0+95,-0.07799475,4,-0.15598951,-38.06872994,0.0001954677,10.063,9.118,9.118,0
2mer-0+96,0.13484003,4,0.26968007,-37.79904987,0.0001954677,10.063,9.118,9.118,0
2mer-0+131,-0.33355871,1,-0.16677936,-37.96582923,0.0001842656,10.12,9.299,9.299,0
2mer-0+137,-0.08426319,2,-0.08426319,-38.05009242,0.0001822456,10.098,9.334,9.334,0
2mer-0+98,-0.05237924,2,-0.05237924,-38.10247166,0.0001818625,10.134,9.34,9.34,0
2mer-0+136,-0.34846428,1,-0.17423214,-38.2767038,0.0001807027,9.784,9.36,9.36,0
2mer-0+107,-0.07626129,2,-0.07626129,-38.35296509,0.0001792999,10.169,9.384,9.384,0
2mer-0+130,0.04494589,2,0.04494589,-38.3080192,0.0001774011,10.726,9.418,9.418,0
2mer-0+124,0.1748817,4,0.34976341,-37.95825579,0.0001716544,11.013,9.522,9.522,0
2mer-0+132,-0.15331479,2,-0.15331479,-38.11157058,0.0001661462,10.467,9.626,9.626,0
2mer-0+119,-0.2385234,1,-0.1192617,-38.23083228,0.0001659168,10.468,9.63,9.63,0
2mer-0+110,0.02710468,4,0.05420936,-38.17662291,0.0001573314,10.153,9.802,9.802,0
2mer-0+126,0.05518825,2,0.05518825,-38.12143467,0.0001533653,11.352,9.886,9.886,0
2mer-0+122,0.17710956,4,0.35421911,-37.76721555,0.0001525534,10.739,9.904,9.904,0
2mer-0+121,-0.08931965,4,-0.17863931,-37.94585486,0.0001525534,10.739,9.904,9.904,0
2mer-0+140,0.02190019,2,0.02190019,-37.92395467,0.000149317,10.776,9.975,9.975,0
2mer-0+151,-0.35910713,2,-0.35910713,-38.2830618,0.0001366512,10.739,10.274,10.274,0
2mer-0+164,0.0711037,2,0.0711037,-38.2119581,0.000135196,11.081,10.311,10.311,0
2mer-0+149,-0.13215358,2,-0.13215358,-38.34411168,0.0001351565,11.065,10.312,10.312,0
2mer-0+154,-0.13726249,2,-0.13726249,-38.48137418,0.0001341423,11.098,10.337,10.337,0
2mer-0+183,0.12321708,4,0.24643416,-38.23494002,0.0001267006,11.873,10.536,10.536,0
2mer-0+155,-0.13709353,4,-0.27418707,-38.50912709,0.0001250017,11.618,10.583,10.583,0
2mer-0+156,0.00911513,4,0.01823026,-38.49089683,0.0001250017,11.618,10.583,10.583,0
2mer-0+172,0.1946232,4,0.38924641,-38.10165043,0.0001241576,11.87,10.607,10.607,0
2mer-0+199,0.08836992,2,0.08836992,-38.0132805,0.0001233407,11.346,10.631,10.631,0
2mer-0+189,-0.1003994,2,-0.1003994,-38.1136799,0.0001233306,11.399,10.631,10.631,0
2mer-0+147,0.08616623,2,0.08616623,-38.02751367,0.0001232416,11.441,10.634,10.634,0
2mer-0+152,0.16854072,2,0.16854072,-37.85897295,0.0001222647,10.739,10.662,10.662,0
2mer-0+150,0.06542069,2,0.06542069,-37.79355226,0.0001209828,10.826,10.699,10.699,0
2mer-0+186,-0.05582451,4,-0.11164901,-37.90520128,0.0001140839,11.333,10.911,10.911,0
2mer-0+148,-0.0892201,4,-0.1784402,-38.08364147,0.0001140737,11.961,10.911,10.911,0
2mer-0+153,-0.10494346,2,-0.10494346,-38.18858493,0.0001134126,11.393,10.932,10.932,0
2mer-0+175,0.2596481,2,0.2596481,-37.92893683,0.0001096182,11.144,11.057,11.057,0
2mer-0+192,0.13679543,2,0.13679543,-37.7921414,0.000107916,12.216,11.115,11.115,0
2mer-0+165,-0.02744477,2,-0.02744477,-37.81958617,0.0001078359,12.231,11.118,11.118,0
2mer-0+166,-0.03578247,4,-0.07156494,-37.89115111,0.0001070144,11.979,11.146,11.146,0
2mer-0+196,-0.15025829,2,-0.15025829,-38.0414094,0.0001054134,11.365,11.202,11.202,0
2mer-0+207,0.04150762,2,0.04150762,-37.99990178,0.0001035413,12.255,11.269,11.269,0
2mer-0+168,0.10096327,4,0.20192653,-37.79797525,0.0001019717,11.979,11.327,11.327,0
2mer-0+219,0.00138268,2,0.00138268,-37.79659257,0.0001011758,12.274,11.356,11.356,0
2mer-0+205,0.12390527,2,0.12390527,-37.6726873,0.0001010609,12.758,11.361,11.361,0
2mer-0+178,0.06661943,2,0.06661943,-37.60606787,0.0001009891,12.773,11.363,11.363,0
2mer-0+171,0.05671989,2,0.05671989,-37.54934798,0.0001000362,11.447,11.399,11.399,0
2mer-0+179,0.04856734,4,0.09713468,-37.45221331,9.926285e-05,12.006,11.429,11.429,0
2mer-0+214,-0.17873858,1,-0.08936929,-37.54158259,9.734214e-05,11.96,11.504,11.504,0
2mer-0+185,0.11672991,4,0.23345981,-37.30812278,9.722746e-05,11.712,11.508,11.508,0
2mer-0+244,-0.07617025,2,-0.07617025,-37.38429303,9.571663e-05,12.483,11.568,11.568,0
2mer-0+191,0.11959754,2,0.11959754,-37.26469549,9.561424e-05,12.526,11.572,11.572,0
