N-mer Name,mb_energy,Num. Rep. (#), N-mer Contribution (kJ/mol),lattice_energy,Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),min_sep,dAPNet2,le_contribution,dAPNet2_le_contribution,mb_energy_norm,dAPNet2_le,le_prev,ccsd(t)_le
2mer-0+73,0.28005071,1,0.14002535,-33.43934167,0.0003649593,8.206,7.405,7.405,0.0005271954578347,0.140025355,0.14028895272891734,0.8401521299999999,-32.84317340545384,-33.43934170999999,0.0
2mer-0+54,-0.37871459,2,-0.37871459,-33.81805627,0.0003589442,7.82,7.446,7.446,0.0015228346455842,-0.37871459,-0.3771917553544158,-1.13614377,-33.22036516080826,-33.81805629999999,0.0
2mer-0+57,0.12598105,4,0.25196209,-33.56609418,0.0003368618,8.99,7.605,7.605,9.5024544862099e-05,0.2519621,0.2521521490897242,0.37794315,-32.96821301171853,-33.56609419999999,0.0
2mer-0+77,0.29602969,1,0.14801484,-33.41807933,0.0003328696,8.285,7.636,7.636,0.0005198181024752,0.148014845,0.1482747540512376,0.88808907,-32.819938257667296,-33.41807935499999,0.0
2mer-0+56,-0.43942631,2,-0.43942631,-33.85750564,0.0003325178,8.286,7.638,7.638,0.0010202468838542,-0.43942631,-0.43840606311614577,-1.31827893,-33.25834432078344,-33.85750566499999,0.0
2mer-0+52,0.05722098,2,0.05722098,-33.80028465,0.0003161852,8.337,7.768,7.768,-9.9596009022207e-06,0.05722098,0.05721102039909778,0.17166293999999999,-33.20113330038435,-33.800284684999994,0.0
2mer-0+89,0.29247636,1,0.14623818,-33.65404647,0.0003160106,8.993,7.769,7.769,-0.0002104773884639,0.14623818,0.14613294130576804,0.87742908,-33.05500035907858,-33.654046505,0.0
2mer-0+64,-0.10940977,2,-0.10940977,-33.76345624,0.0003160106,9.033,7.769,7.769,0.000176421017386,-0.10940977,-0.109233348982614,-0.32822931,-33.1642337080612,-33.763456274999996,0.0
2mer-0+82,-0.23096479,4,-0.46192958,-34.22538582,0.0002914261,8.593,7.982,7.982,9.540647442918272e-05,-0.46192958,-0.46173876705114164,-0.69289437,-33.62597247511234,-34.225385855,0.0
2mer-0+67,-0.33829129,4,-0.67658257,-34.9019684,0.0002839308,8.656,8.051,8.051,0.0,-0.67658258,-0.67658258,-1.0148738700000002,-34.30255505511234,-34.901968435,0.0
2mer-0+68,0.32304644,1,0.16152322,-34.74044518,0.0002833353,8.38,8.057,8.057,0.0,0.16152322,0.16152322,0.96913932,-34.141031835112344,-34.740445215,0.0
2mer-0+72,-0.30301977,2,-0.30301977,-35.04346495,0.000281775,8.681,8.072,8.072,0.0,-0.30301977,-0.30301977,-0.9090593100000001,-34.44405160511234,-35.043464985,0.0
2mer-0+69,0.28132725,1,0.14066363,-34.90280132,0.0002815522,8.681,8.074,8.074,0.0,0.140663625,0.140663625,0.84398175,-34.30338798011234,-34.90280136,0.0
2mer-0+76,0.02679938,4,0.05359875,-34.84920257,0.0002520364,8.656,8.377,8.377,0.0,0.05359876,0.05359876,0.08039814,-34.24978922011234,-34.8492026,0.0
